domain,category,evidence,source,risk_score,first_seen,last_seen,geo,notes
qhrzaisf.xyz,spam,Community report,community,,2025-09-13,,,
zselziid.xyz,spam,Community report,community,,2025-09-13,,,
bsdullev.xyz,spam,Community report,community,,2025-09-13,,,
lvtpshfv.xyz,spam,Community report,community,,2025-09-13,,,
kvzjgvkx.xyz,spam,Community report,community,,2025-09-13,,,
yipwzemm.xyz,spam,Community report,community,,2025-09-13,,,
tpmkkeuf.xyz,spam,Community report,community,,2025-09-13,,,
xxsirmdj.xyz,spam,Community report,community,,2025-09-13,,,
jxwikfum.xyz,spam,Community report,community,,2025-09-13,,,
thwtbnbc.xyz,spam,Community report,community,,2025-09-13,,,
azabuhfq.xyz,spam,Community report,community,,2025-09-13,,,
lgrpgnok.xyz,spam,Community report,community,,2025-09-13,,,
aasosmgx.xyz,spam,Community report,community,,2025-09-13,,,
vfoskvzw.xyz,spam,Community report,community,,2025-09-13,,,
pcywnbry.xyz,spam,Community report,community,,2025-09-13,,,
fnmsotfh.xyz,spam,Community report,community,,2025-09-13,,,
hckcqfho.xyz,spam,Community report,community,,2025-09-13,,,
mostcomfortableheadphonestosleepin.xyz,spam,Community report,community,,2025-09-13,,,
paotung168.xyz,spam,Community report,community,,2025-09-13,,,
pgslotgta.xyz,spam,Community report,community,,2025-09-13,,,
haarvitamine.xyz,spam,Community report,community,,2025-09-13,,,
999superslot.xyz,spam,Community report,community,,2025-09-13,,,
slotxowar.xyz,spam,Community report,community,,2025-09-13,,,
xxx553.xyz,spam,Community report,community,,2025-09-13,,,
bombahaberler.xyz,spam,Community report,community,,2025-09-13,,,
modahaberleri.xyz,spam,Community report,community,,2025-09-13,,,
turbot888.xyz,spam,Community report,community,,2025-09-13,,,
arinapage.xyz,spam,Community report,community,,2025-09-13,,,
mersinhaber.xyz,spam,Community report,community,,2025-09-13,,,
bestcouponsandfreebies.xyz,spam,Community report,community,,2025-09-13,,,
30namatak.xyz,spam,Community report,community,,2025-09-13,,,
nightingale888.xyz,spam,Community report,community,,2025-09-13,,,
zerka-lo1.xyz,spam,Community report,community,,2025-09-13,,,
slotauto88.xyz,spam,Community report,community,,2025-09-13,,,
giraffe888.xyz,spam,Community report,community,,2025-09-13,,,
bhidetube.xyz,spam,Community report,community,,2025-09-13,,,
veylola.xyz,spam,Community report,community,,2025-09-13,,,
fhidetube.xyz,spam,Community report,community,,2025-09-13,,,
54-38-132-168.xyz,spam,Community report,community,,2025-09-13,,,
reviewking.xyz,spam,Community report,community,,2025-09-13,,,
silicone-band-bracelets.xyz,spam,Community report,community,,2025-09-13,,,
vitiligoweb.xyz,spam,Community report,community,,2025-09-13,,,
yps520.xyz,spam,Community report,community,,2025-09-13,,,
deukmyund.xyz,spam,Community report,community,,2025-09-13,,,
datingseiten24.xyz,spam,Community report,community,,2025-09-13,,,
digitalwebmaster.xyz,spam,Community report,community,,2025-09-13,,,
abdulmuneeb.xyz,spam,Community report,community,,2025-09-13,,,
toakiiikarrrt.xyz,spam,Community report,community,,2025-09-13,,,
rubber-wrist-band.xyz,spam,Community report,community,,2025-09-13,,,
cnrtqikw.xyz,spam,Community report,community,,2025-09-13,,,
dalakony.xyz,spam,Community report,community,,2025-09-13,,,
mymtehran.xyz,spam,Community report,community,,2025-09-13,,,
rapidmoviez.xyz,spam,Community report,community,,2025-09-13,,,
stremengblez.xyz,spam,Community report,community,,2025-09-13,,,
adultcizgipremium.xyz,spam,Community report,community,,2025-09-13,,,
zyfserver.xyz,spam,Community report,community,,2025-09-13,,,
edllsian.xyz,spam,Community report,community,,2025-09-13,,,
drakorterus.xyz,spam,Community report,community,,2025-09-13,,,
namwonkranma.xyz,spam,Community report,community,,2025-09-13,,,
fuzoku-douga.xyz,spam,Community report,community,,2025-09-13,,,
lionfm.xyz,spam,Community report,community,,2025-09-13,,,
plazu.xyz,spam,Community report,community,,2025-09-13,,,
iphone-se.xyz,spam,Community report,community,,2025-09-13,,,
ranktankwar.xyz,spam,Community report,community,,2025-09-13,,,
kasamashi-seniorkonkatsu.xyz,spam,Community report,community,,2025-09-13,,,
seodirectories.xyz,spam,Community report,community,,2025-09-13,,,
filmzcomplet.xyz,spam,Community report,community,,2025-09-13,,,
yo-movies.xyz,spam,Community report,community,,2025-09-13,,,
zolohwcg.xyz,spam,Community report,community,,2025-09-13,,,
hrylbfun.xyz,spam,Community report,community,,2025-09-13,,,
azuruppu.xyz,spam,Community report,community,,2025-09-13,,,
gyhetkvc.xyz,spam,Community report,community,,2025-09-13,,,
bqhypvfi.xyz,spam,Community report,community,,2025-09-13,,,
mlncxpfw.xyz,spam,Community report,community,,2025-09-13,,,
eazyvvyj.xyz,spam,Community report,community,,2025-09-13,,,
qhkxhycu.xyz,spam,Community report,community,,2025-09-13,,,
fshsvnub.xyz,spam,Community report,community,,2025-09-13,,,
lpparvmd.xyz,spam,Community report,community,,2025-09-13,,,
ffliovqz.xyz,spam,Community report,community,,2025-09-13,,,
eoglkujn.xyz,spam,Community report,community,,2025-09-13,,,
xpnbapal.xyz,spam,Community report,community,,2025-09-13,,,
tpwbxpmb.xyz,spam,Community report,community,,2025-09-13,,,
xaehvbxg.xyz,spam,Community report,community,,2025-09-13,,,
wolewyfx.xyz,spam,Community report,community,,2025-09-13,,,
hybqohid.xyz,spam,Community report,community,,2025-09-13,,,
igrnyfyg.xyz,spam,Community report,community,,2025-09-13,,,
swlwbdvc.xyz,spam,Community report,community,,2025-09-13,,,
najfnjpg.xyz,spam,Community report,community,,2025-09-13,,,
gpryzdwc.xyz,spam,Community report,community,,2025-09-13,,,
nqkjqnfr.xyz,spam,Community report,community,,2025-09-13,,,
euphxnil.xyz,spam,Community report,community,,2025-09-13,,,
vevhjivh.xyz,spam,Community report,community,,2025-09-13,,,
qiiubnkk.xyz,spam,Community report,community,,2025-09-13,,,
sarlgrpy.xyz,spam,Community report,community,,2025-09-13,,,
rxkfkdah.xyz,spam,Community report,community,,2025-09-13,,,
fjojahdb.xyz,spam,Community report,community,,2025-09-13,,,
uoufvycf.xyz,spam,Community report,community,,2025-09-13,,,
tztkkrqj.xyz,spam,Community report,community,,2025-09-13,,,
llytiuxa.xyz,spam,Community report,community,,2025-09-13,,,
zeycrdcs.xyz,spam,Community report,community,,2025-09-13,,,
